balcony,build_year,building_material,condition,floor_area,floor_info,floors,heating_type,house_info,lift,location,lot_owned,lot_size,maintenance,price,property_type,sauna,municipality,kitchen_type,balcony_type,floors_info,floor_num,park_space_type,address,postcode,Unit maintenance cost
Asunnossa on parveke,1974.0,concrete,good,94.0,4/8,8,Kaukolämpö,4h + k + kph + erill.wc + 2vh + 2parv,True,"kuutamokatu 6,, ,02210 espoo",True,52868.0,"432,40 € / kk",249000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,4,,kuutamokatu 6,02210,432.0
Asunnossa on parveke,1970.0,concrete,mediocre,49.0,5/5,5,Kaukolämpö,2h + k + kph + vh + lasitettu parveke.,True,"ylistörmä 5 f,, ,02210",True,5856.0,"328,79 € / kk",168000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,glassed-in balcony,,5,,ylistörmä 5 f,02210,328.0
Asunnossa on parveke,1984.0,concrete,mediocre,33.5,3/3,3,Kaukolämpö,1h + kk + kph + parv. (yj.1h + kk),False,"lansankallionkuja 4,, ,02630 espoo",True,81605.0,"192,23 € / kk",145000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,3,,lansankallionkuja 4,02630,192.0
Asunnossa on parveke,1981.0,concrete,mediocre,76.5,1/4,4,Kaukolämpö,3h + k + kph + lasitettu parveke,False,"ilmakuja 1 b,, ,02210",True,15663.0,"455,90 € / kk",196000.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchen,glassed-in balcony,,1,,ilmakuja 1 b,02210,455.0
Asunnossa on parveke,2020.0,concrete,good,141.0,1/1,1,,5-6h + k + s,False,"kallvikintie 3,, ,02780",True,,"770,00 € / kk",770000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,1,,kallvikintie 3,02780,770.0
,2014.0,concrete,good,49.5,2/12,12,Kaukolämpö,2h + k + kph,True,"piispanpiha 1,, ,02200 espoo",True,2120.0,"198,00 € / kk",298000.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchen,,,2,,piispanpiha 1,02200,198.0
,2005.0,concrete,good,67.5,1/5,5,kaukolämpö,oh-avokeittiö + 2 x mh + s + ph + terassi / yj mukaan 3,False,"myötätuulenmäki 1 b,, ,02330",True,5236.0,"280,87 € / kk",269000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,,,1,,myötätuulenmäki 1 b,02330,280.0
Asunnossa on parveke,2019.0,concrete,good,35.0,1/3,3,"Kaukolämpö, vesikiertoinen lattialämmitys",1h + kt + ranskalainen parveke,True,"reviisorinkatu 10,, ,02770",False,3042.0,"448,01 € / kk",159000.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchenette,glassed-in balcony,,1,,reviisorinkatu 10,02770,448.0
,1974.0,concrete,mediocre,163.0,1/1,1,vesikiertoinen lattialämmitys. Uusittu 2003.,nan,False,"valkjärventie 13,, ,02130 espoo",True,,,659000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,,valkjärventie 13,02130,
Asunnossa on parveke,2013.0,concrete,good,54.5,3/5,5,Kaukolämpö,2h + kk + s,True,"kilvoituksentie 3,, ,02360 espoo",True,7548.0,"1 376,59 € / kk",245000.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,3,,kilvoituksentie 3,02360,1376.0
Asunnossa on parveke,1977.0,concrete,good,86.0,1/2,2,Kaukolämpö,4k + k + kph / s + wc / kh + vh + var + piha,False,"kalenteritie 18-20,, ,02200 espoo",True,6712.0,"348,30 € / kk",306000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,2.0,1,,kalenteritie 18-20,02200,348.0
,,concrete,good,173.0,1/1,1,maalämpö ja maaviileä ja vesikiertoinen lattialämmitys,nan,False,"terijoentie 21 b,, ,02130 espoo",True,,,1250000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,,terijoentie 21 b,02130,
,2021.0,concrete,,155.0,1/1,1,,4h + k + wc3 + s + kph2 + p + ak + ma + vh2 + khh,False,"eestiläistentie 7,, ,02270",True,,,830000.0,detached house,,ESPOO,kitchen,,2.0,1,Carport,eestiläistentie 7,02270,
Asunnossa on parveke,2021.0,concrete,good,61.0,7/7,7,Kaukolämpö,3h + kt,True,"kuusiniemi 1 a28,, ,02710",False,,"385,80 € / kk",268253.0,apartment,,ESPOO,kitchenette,glassed-in balcony,,7,,kuusiniemi 1 a28,02710,385.0
Asunnossa on parveke,2021.0,concrete,good,100.5,7/7,7,Kaukolämpö,3h + kt + s,True,"kuusiniemi 1 a27,, ,02710",False,,"642,51 € / kk",452882.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,7,,kuusiniemi 1 a27,02710,642.0
,2021.0,concrete,good,78.0,1/7,7,Kaukolämpö,2-3h + kt + s,True,"kuusiniemi 1 a3,, ,02710",False,,"452,10 € / kk",269455.0,apartment,,ESPOO,kitchenette,,2.0,1,,kuusiniemi 1 a3,02710,452.0
,2013.0,concrete,good,152.0,1/1,1,PILP Nibe F470,5h + k + s + tkh + parvi + lämmin varasto + autokatos,False,"varsikengäntie 9,, ,02780",True,,,620000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,Garage,varsikengäntie 9,02780,
,1999.0,concrete,good,163.0,1/1,1,Suorasähkö sekä kaksi varaavaa takkaa ( toisessa leivinuuni),7h + k + s + 2xkph + wc + khh + ph + aula + at,False,"sahajärventie 19 b,, ,02860 espoo",True,,,689000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,3.0,1,Garage,sahajärventie 19 b,02860,
,1946.0,concrete,good,108.0,1/2,2,Sähkölämmitys,4h + k + halli,False,"kiuaskuja 6,, ,02770 espoo",True,2400.0,"259,20 € / kk",249000.0,terraced house,Asunnossa ei ole saunaa,ESPOO,kitchen,,2.0,1,,kiuaskuja 6,02770,259.0
,2013.0,concrete,good,109.0,1/2,2,"Maalämpö,vesikeskuslämmitys",3-4h + k + kph + s + wc + khh + vh + v + ak + ap,False,"kanttiinikuja 2,, ,02680 espoo",False,6156.0,"643,10 € / kk",398000.0,terraced house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,Carport,kanttiinikuja 2,02680,643.0
